week,S,I,P,D,E,R,Q,W,H,A,R_t
196.0,135.9024,1.668045,0.0,0.0,1.2368816,1926.9314,0.006870147,0.04023923,484.2663,0.0027516754,0.9709682971803382
197.0,138.32355,1.9127614,0.0,0.0,0.30100897,1928.9038,0.013377271,0.17911433,483.20877,0.0017830277,0.9882663365355313
198.0,135.42932,0.5110914,0.0,0.0,1.035404,1929.7113,0.027771525,0.044189986,482.4878,0.00035681154,0.9675882505986387
199.0,135.67737,0.7442869,0.0,0.0,0.8613245,1926.8031,0.0332707,0.0,483.85648,0.0021443595,0.9693603643949303
200.0,141.35983,0.5902979,0.0,0.0,1.6189914,1929.6116,0.0046257945,0.034379438,484.1457,0.0,1.0099594067065603
201.0,139.37355,0.8289963,0.0,0.0,0.9149862,1920.1709,0.00825366,0.08803108,483.19684,0.000670581,0.9957681877321792
202.0,140.7575,0.8069458,0.0,0.0,0.0,1921.6442,0.005485663,0.039207723,485.69635,0.00072278176,1.0056560327200104
203.0,139.19212,0.36730677,0.0,0.0,0.7760767,1931.2463,0.0014913826,0.026479786,484.2148,0.0033420913,0.994471937224412
204.0,134.74022,2.4047577,0.0,0.0,0.2623124,1926.9487,0.0,0.14241877,484.8615,0.0,0.9626649188672931
205.0,146.86285,1.231202,0.0,0.0,1.5389612,1924.1764,0.018477485,0.15232265,483.57574,0.00814324,1.0492762890785858
206.0,146.97112,0.0,0.0,0.0,0.6787901,1924.881,0.0002254402,0.13579223,485.72363,0.0044769514,1.0500496895676201
207.0,144.88635,0.2381408,0.0,0.0,1.9247937,1920.4883,0.0065312637,0.026380729,483.2601,0.004290616,1.0351549233463886
208.0,145.62875,1.0868517,0.0,0.0,1.376631,1924.6997,0.022532117,0.13518177,484.08585,0.0035833237,1.040459136489942
209.0,147.02753,1.3213794,0.0,0.0,0.0,1919.5804,0.008597576,0.022973591,483.06403,0.0013172826,1.0504527833841892
210.0,142.26036,0.15939294,0.0,0.0,0.5126454,1923.3914,0.018699959,0.12630647,483.86,0.0010681729,1.0163933182068936
211.0,147.75458,1.3915895,0.0,0.0,1.2419789,1923.4022,0.012617195,0.068978556,483.08984,0.0,1.0556472427211623
212.0,146.71863,2.3261924,0.0,0.0,1.2548707,1919.4751,0.02101546,0.08546526,482.4415,0.0027949992,1.048245742534157
213.0,148.0038,1.0735809,0.0,0.0,1.0041518,1917.1311,0.017955087,0.0,483.11142,0.005043579,1.05742783266194
